2024-05-16 21:23:01,537 DEBUG   SenderThread:635469 [sender.py:send_request():406] send_request: stop_status
2024-05-16 21:23:01,821 DEBUG   SenderThread:635469 [sender.py:send():379] send: telemetry
2024-05-16 21:23:02,146 INFO    wandb-upload_0:635469 [upload_job.py:push():131] Uploaded file /tmp/tmpvdzdbuhbwandb/oeqlh05i-wandb-metadata.json
2024-05-16 21:23:02,371 INFO    Thread-12 :635469 [dir_watcher.py:_on_file_created():271] file/dir created: /home/pedro/PINN/jaxpi/examples/geomIII/wandb/run-20240516_212300-t6pzconm/files/wandb-metadata.json
2024-05-16 21:23:02,371 INFO    Thread-12 :635469 [dir_watcher.py:_on_file_created():271] file/dir created: /home/pedro/PINN/jaxpi/examples/geomIII/wandb/run-20240516_212300-t6pzconm/files/requirements.txt
2024-05-16 21:23:03,371 INFO    Thread-12 :635469 [dir_watcher.py:_on_file_created():271] file/dir created: /home/pedro/PINN/jaxpi/examples/geomIII/wandb/run-20240516_212300-t6pzconm/files/output.log
2024-05-16 21:23:05,371 INFO    Thread-12 :635469 [dir_watcher.py:_on_file_modified():288] file/dir modified: /home/pedro/PINN/jaxpi/examples/geomIII/wandb/run-20240516_212300-t6pzconm/files/output.log
2024-05-16 21:23:06,430 DEBUG   HandlerThread:635469 [handler.py:handle_request():146] handle_request: status_report
2024-05-16 21:23:11,430 DEBUG   HandlerThread:635469 [handler.py:handle_request():146] handle_request: status_report
2024-05-16 21:23:16,431 DEBUG   HandlerThread:635469 [handler.py:handle_request():146] handle_request: status_report
2024-05-16 21:23:16,497 DEBUG   HandlerThread:635469 [handler.py:handle_request():146] handle_request: stop_status
2024-05-16 21:23:16,497 DEBUG   HandlerThread:635469 [handler.py:handle_request():146] handle_request: internal_messages
2024-05-16 21:23:16,497 DEBUG   SenderThread:635469 [sender.py:send_request():406] send_request: stop_status
2024-05-16 21:23:21,740 DEBUG   HandlerThread:635469 [handler.py:handle_request():146] handle_request: status_report
2024-05-16 21:23:23,397 DEBUG   SenderThread:635469 [sender.py:send():379] send: telemetry
2024-05-16 21:23:23,437 DEBUG   HandlerThread:635469 [handler.py:handle_request():146] handle_request: partial_history
