
Waiting for JIT...
[19:25:33 - main - INFO] rv_loss        nan
[19:25:33 - main - INFO] u_noslip_loss  nan
[19:25:33 - main - INFO] v_in_loss      nan
[19:25:33 - main - INFO] v_noslip_loss  nan
[19:25:33 - main - INFO] v_out_loss     nan
[19:25:33 - main - INFO] u_error        nan
[19:25:33 - main - INFO] v_error        nan
[19:25:35 - main - INFO] ----------------------------
[19:25:35 - main - INFO] Iter: 1000     Time: 2.227
[19:25:35 - main - INFO] -------------  -------------
[19:25:35 - main - INFO] p_in_loss      nan
[19:25:35 - main - INFO] p_out_loss     nan
[19:25:35 - main - INFO] rc_loss        nan
[19:25:35 - main - INFO] ru_loss        nan
[19:25:35 - main - INFO] rv_loss        nan
[19:25:35 - main - INFO] u_noslip_loss  nan
[19:25:35 - main - INFO] v_in_loss      nan
[19:25:35 - main - INFO] v_noslip_loss  nan
[19:25:35 - main - INFO] v_out_loss     nan
[19:25:35 - main - INFO] u_error        nan
[19:25:35 - main - INFO] v_error        nan
[19:25:35 - main - INFO] ----------------------------
[19:25:35 - main - INFO] Iter: 1100     Time: 0.006
[19:25:35 - main - INFO] -------------  -------------
[19:25:35 - main - INFO] p_in_loss      nan
[19:25:35 - main - INFO] p_out_loss     nan
[19:25:35 - main - INFO] rc_loss        nan
[19:25:35 - main - INFO] ru_loss        nan
[19:25:35 - main - INFO] rv_loss        nan
[19:25:35 - main - INFO] u_noslip_loss  nan
[19:25:35 - main - INFO] v_in_loss      nan
[19:25:35 - main - INFO] v_noslip_loss  nan
[19:25:35 - main - INFO] v_out_loss     nan
[19:25:35 - main - INFO] u_error        nan
[19:25:35 - main - INFO] v_error        nan
[19:25:36 - main - INFO] ----------------------------
[19:25:36 - main - INFO] Iter: 1200     Time: 0.006
[19:25:36 - main - INFO] -------------  -------------
[19:25:36 - main - INFO] p_in_loss      nan
[19:25:36 - main - INFO] p_out_loss     nan
[19:25:36 - main - INFO] rc_loss        nan
[19:25:36 - main - INFO] ru_loss        nan
[19:25:36 - main - INFO] rv_loss        nan
[19:25:36 - main - INFO] u_noslip_loss  nan
[19:25:36 - main - INFO] v_in_loss      nan
